source	target	lib	tfidfMax	tfidfDistances
0181IbnMubarak.Jihad.JK000549-ara1	13182.json	RAWrabicaShamAY2	0.88626	[0.88626]
0181IbnMubarak.Jihad.JK000549-ara1	Sham30K0008207	RAWrabica010000	0.886	[0.886]
0181IbnMubarak.Jihad.JK000549-ara1	0375IbnQasimMiyaniji.Juz.Shamela0029728-ara1	RELEASE	0.88598	[0.88598]
0181IbnMubarak.Jihad.JK000549-ara1	0432Mustaghfiri.DalailNubuwwa.ShamAY0034438-ara1	RELEASE	0.88591	[0.88591]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.MaradWaKaffarat.ShamAY0038113-ara1	RELEASE	0.88581	[0.88581]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.MudaratNas.ShamAY0038129-ara1	RELEASE	0.88576	[0.88576]
0181IbnMubarak.Jihad.JK000549-ara1	38159.json	RAWrabicaShamAY3	0.8855	[0.8855]
0181IbnMubarak.Jihad.JK000549-ara1	002296Vols.automARkdown	RAW_Masaha	0.88543	[0.88543]
0181IbnMubarak.Jihad.JK000549-ara1	0246HusaynMarwazi.BirrWaSila.Shamela0013007-ara1	RELEASE	0.88535	[0.88535]
0181IbnMubarak.Jihad.JK000549-ara1	0387IbnBattaCukbari.IbanaKubra.Shamela0008206-ara1	RELEASE	0.88532	[0.88532]
0181IbnMubarak.Jihad.JK000549-ara1	21685.json	RAWrabicaShamAY2	0.88528	[0.88528]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.MaradWaKaffarat.JK000014-ara1	RELEASE	0.88521	[0.88521]
0181IbnMubarak.Jihad.JK000549-ara1	38113.json	RAWrabicaShamAY3	0.88509	[0.88509]
0181IbnMubarak.Jihad.JK000549-ara1	0282IbnIshaqJahdami.AhkamQuran.Shamela0006206-ara1	RELEASE	0.88503	[0.88503]
0181IbnMubarak.Jihad.JK000549-ara1	34438.json	RAWrabicaShamAY3	0.88492	[0.88492]
0181IbnMubarak.Jihad.JK000549-ara1	31641.json	RAWrabicaShamAY2	0.88479	[0.88479]
0181IbnMubarak.Jihad.JK000549-ara1	6206.json	RAWrabicaShamAY1	0.88452	[0.88452]
0181IbnMubarak.Jihad.JK000549-ara1	0360AbuBakrAjurri.Sharica.JK009158-ara1	RELEASE	0.88415	[0.88415]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.IshrafFiManazil.Shamela0012994-ara1	RELEASE	0.88407	[0.88407]
